name,date_of_birth,height,weight
Daniel Munthe Agger,1984-12-12,191.0,84.0
Liam Miller,1981-02-13,170.0,66.0
Anthony Stokes,1988-07-25,180.0,70.0
Jermain Defoe,1982-10-07,171.0,65.0
Craig Gordon,1982-12-31,193.0,85.0
Ross Wallace,1985-05-23,167.0,63.0
Nicklas Bendtner,1988-01-16,193.0,84.0
Kolo Habib Touré,1981-03-19,180.0,74.0
Bernard Mendy,1981-08-20,180.0,77.0
Daryl Murphy,1983-03-15,191.0,88.0
Roman Bednár,1983-03-26,185.0,78.0
Craig Beattie,1984-01-16,183.0,73.0
Johan Danon Djourou-Gbadjere,1987-01-18,191.0,87.0
Robbie Keane,1980-07-08,175.0,72.0
Carlton Cole Okirie,1983-10-12,191.0,78.0
Abdoulaye Méïté,1980-10-06,185.0,82.0
Roy Carroll,1977-09-30,188.0,80.0
Steven Mouyokolo,1987-01-24,190.0,86.0
Anton Ferdinand,1985-02-18,183.0,71.0
Jonathan Spector,1986-03-01,183.0,76.0
Julien Faubert,1983-08-01,180.0,75.0
Fredrik Ljungberg,1977-04-16,176.0,75.0
Amdy Moustapha Faye,1977-12-03,184.0,78.0
Kasper Schmeichel,1986-11-05,189.0,88.0
Scott Sinclair,1989-03-25,177.0,69.0
Jason Kelvin Scotland,1979-02-18,173.0,73.0
Carlos Javier Cuéllar Jiménez,1981-08-23,190.0,84.0
Stiliyan Alyoshev Petrov,1979-05-07,180.0,77.0
Andrew Davies,1984-12-17,188.0,82.0
Narcisse-Olivier Kapo Obou,1980-09-27,184.0,79.0
El-Hadji Ousseynou Diouf,1981-01-15,180.0,75.0
David Junior Hoilett,1990-06-05,174.0,70.0
Lars Christian Jacobsen,1979-09-20,181.0,76.0
Joe Hart,1987-04-19,196.0,91.0
Shefki Kuqi,1976-10-11,188.0,88.0
Pedro Miguel da Silva Mendes,1979-02-26,177.0,77.0
Johan Elmander,1981-05-27,188.0,90.0
Lee McCulloch,1978-05-14,185.0,83.0
Gary Teale,1978-07-21,175.0,71.0
Jay McEveley,1985-02-11,186.0,84.0
Aaron Hughes,1979-11-08,183.0,70.0
Brede Hangeland,1981-06-20,195.0,92.0
Winston Reid,1988-07-03,191.0,87.0
Stephen Pearson,1982-10-02,185.0,70.0
Niko Kranjčar,1984-08-13,185.0,80.0
James McFadden,1983-04-14,178.0,79.0
Ricardo Jorge Vaz Té,1986-10-01,188.0,79.0
Glenn Whelan,1984-01-13,180.0,79.0
Chris Eagles,1985-11-19,183.0,67.0
Steven Thompson,1978-10-14,188.0,78.0
Christian Kalvenes,1977-08-03,182.0,77.0
Olof Mellberg,1977-09-03,180.0,82.0
Steven Fletcher,1987-03-26,185.0,76.0
Ján Mucha,1982-12-05,189.0,87.0
Steven Davis,1985-01-01,172.0,70.0
Eric Daniel Djemba-Djemba,1981-05-04,174.0,75.0
James McArthur,1987-10-07,178.0,75.0
Kevin Foley,1984-11-01,181.0,79.0
James McCarthy,1990-11-12,180.0,72.0
Greg Halford,1984-12-08,193.0,85.0
Matt Gilks,1982-06-04,185.0,81.0
Charlie Adam,1985-12-10,185.0,83.0
Carlos Manuel Bocanegra,1979-05-25,183.0,78.0
Diomansy Kamara,1980-11-08,180.0,72.0
Román Golobart Benet,1992-03-21,193.0,87.0
Aaron Ramsey,1990-12-26,178.0,76.0
Ádám Bogdán,1987-09-27,194.0,92.0
Fredrik Olof Esaias Stoor,1984-02-28,182.0,80.0
Garry Lawrence O'Connor,1983-05-07,186.0,75.0
Martyn Waghorn,1990-01-23,177.0,83.0
Colin Doyle,1985-06-12,196.0,91.0
Barry Ferguson,1978-02-02,178.0,74.0
Georgios Samaras,1985-02-21,193.0,82.0
Nicky Weaver,1979-03-02,191.0,83.0
Trevor Carson,1988-03-05,185.0,85.0
Joey Barton,1982-09-02,172.0,70.0
David Murphy,1984-03-01,183.0,84.0
Michael Duberry,1975-10-14,186.0,94.0
Christophe Berra,1985-01-31,190.0,92.0
Christian Nadé,1984-09-18,186.0,80.0
Graham Dorrans,1987-05-05,175.0,73.0
Chris Iwelumo,1978-08-01,191.0,94.0
Lennard Adjetey Sowah,1992-08-23,187.0,80.0
Youssouf Chafiq Mulumbu Ngangu,1987-01-25,177.0,65.0
Daniel Omoya Braaten,1982-05-25,184.0,94.0
David N'Gog,1989-04-01,190.0,76.0
Jack Wilshere,1992-01-01,172.0,68.0
Henrik Pedersen,1975-06-10,185.0,84.0
Roy O'Donovan,1985-08-10,179.0,78.0
Francis Jeffers,1981-01-25,175.0,74.0
Haris Vučkič,1992-08-21,188.0,80.0
James Tavernier,1991-10-31,182.0,75.0
Gary Naysmith,1978-11-16,178.0,73.0
Marc-Antoine Fortuné,1981-07-02,183.0,82.0
Matthew Kilgallon,1984-01-08,188.0,80.0
Apostolos Vellios,1992-01-08,191.0,79.0
Louis Laing,1993-03-06,188.0,76.0
Jan Vennegoor of Hesselink,1978-07-11,191.0,85.0
Gary Caldwell,1982-04-12,180.0,75.0
Dennis Rommedahl,1978-07-22,178.0,73.0
Blair Adams,1991-09-08,180.0,72.0
David Goodwillie,1989-03-28,175.0,71.0
Nick Blackman,1989-11-11,187.0,80.0
Grant Hanley,1991-11-20,188.0,76.0
Sung-Yeung Ki,1989-01-24,188.0,75.0
Gylfi Þór Sigurðsson,1989-09-08,186.0,79.0
Tyler Blackett,1994-04-02,183.0,87.0
Myles Anderson,1990-01-09,183.0,80.0
Vito Mannone,1988-03-02,188.0,73.0
Marc Muniesa Martínez,1992-03-27,180.0,75.0
Dorus de Vries,1980-12-29,186.0,85.0
Adam Hammill,1988-01-25,180.0,73.0
Alex Oxlade-Chamberlain,1993-08-15,180.0,70.0
Alexander Kačaniklić,1991-08-13,181.0,66.0
Philippe Senderos,1985-02-14,190.0,84.0
Robert Snodgrass,1987-09-07,182.0,82.0
John Ruddy,1986-10-24,192.0,96.0
Kyle Bartley,1991-05-22,194.0,76.0
Russell Martin,1986-01-04,183.0,74.0
Aiden McGeady,1986-04-04,180.0,71.0
Steven Naismith,1986-09-14,178.0,72.0
Matthew Briggs,1991-03-06,184.0,76.0
Jeffrey Schlupp,1992-12-23,178.0,72.0
Tetchi Jores Charlemagne Ulrich Okore,1992-08-11,183.0,87.0
Nicklas Helenius,1991-05-08,196.0,85.0
Andy King,1988-10-29,184.0,79.0
Aleksandar Tonev,1990-02-03,178.0,69.0
Steven Whittaker,1984-06-16,185.0,87.0
Simon Lappin,1983-01-25,180.0,60.0
Jon Flanagan,1993-01-01,181.0,79.0
Kemy Agustien,1986-08-20,178.0,75.0
Nikica Jelavić,1985-08-27,188.0,88.0
Clint Hill,1978-10-19,182.0,72.0
Jacob Butterfield,1990-06-10,180.0,77.0
Alex Bruce,1984-09-28,180.0,73.0
Artur Boruc,1980-02-20,193.0,87.0
Steven Roy Caulker,1991-12-29,191.0,76.0
Alan Tate,1982-09-02,185.0,84.0
Allan McGregor,1982-01-31,183.0,74.0
Adam Le Fondre,1986-12-02,180.0,73.0
Andrew Robertson,1994-03-11,178.0,64.0
Noel Hunt,1982-12-26,173.0,74.0
Omatsone Folarin Aluko,1989-02-19,173.0,62.0
Pape N'Diaye Souaré,1990-06-06,178.0,69.0
David Moberg-Karlsson,1994-03-20,179.0,74.0
Gary Hooper,1988-01-26,177.0,71.0
Simon Church,1988-12-10,183.0,84.0
Conor Sammon,1986-11-06,188.0,80.0
Adrián López Rodríguez,1987-02-25,184.0,75.0
Jamie Ness,1991-03-02,177.0,72.0
Gareth McAuley,1979-12-05,191.0,90.0
Victor Wanyama,1991-06-25,184.0,80.0
Dwight Gayle,1989-10-17,174.0,78.0
Simeon Jackson,1987-03-28,173.0,72.0
Adam Matthews,1992-01-13,178.0,71.0
Jos Hooiveld,1983-04-22,193.0,86.0
Nicky Maynard,1986-12-11,180.0,70.0
Guy Roland Demel,1981-06-13,188.0,88.0
David Marshall,1985-03-05,187.0,83.0
Declan John,1995-06-30,178.0,75.0
Fraser Forster,1988-03-17,201.0,93.0
Bryan Oviedo,1990-02-18,172.0,60.0
Don Cowie,1983-02-15,178.0,74.0
Joe Lewis,1987-10-06,198.0,85.0
Rafael van der Vaart,1983-02-11,176.0,74.0
Conor McAleny,1992-08-12,178.0,78.0
Shaun Maloney,1983-01-24,170.0,70.0
Joe Ledley,1987-01-23,183.0,73.0
Neil Alexander,1978-03-10,185.0,73.0
Danny Fox,1986-05-29,183.0,79.0
Rolando Aarons,1995-11-16,178.0,76.0
Paul Dummett,1991-09-26,183.0,82.0
Shane Duffy,1992-01-01,193.0,76.0
Danny Seaborne,1987-03-05,183.0,74.0
Mehdi Abeid,1992-08-06,178.0,77.0
Anga Dedryck Boyata,1990-11-28,188.0,84.0
Scott Arfield,1988-11-01,178.0,70.0
Lukas Jutkiewicz,1989-03-28,185.0,76.0
Darren Randolph,1987-05-12,187.0,98.0
Jack Butland,1993-03-10,196.0,95.0
Jason Denayer,1995-06-28,184.0,70.0
Kelechi Promise Iheanacho,1996-10-03,185.0,82.0
Gaël Bigirimana,1993-10-22,173.0,71.0
Daniel Amartey,1994-12-21,186.0,79.0
Marek Saganowski,1978-10-31,178.0,81.0
Rory Fallon,1982-03-20,193.0,74.0
Izzy Iriekpen,1982-05-14,185.0,77.0
Lee Johnson,1981-06-07,168.0,66.0
Kevin Alistair Kyle,1981-06-07,193.0,83.0
Jim Goodwin,1981-11-20,175.0,77.0
Stephen Kingsley,1994-07-23,178.0,67.0
Mark de Vries,1975-08-24,191.0,87.0
Burton O'Brien,1981-06-10,178.0,74.0
Stephen Elliott,1984-01-06,176.0,74.0
Cameron Carter-Vickers,1997-12-31,183.0,92.0
Zhi Zheng,1980-08-20,180.0,75.0
Steve Jones,1976-10-25,178.0,65.0
Gavin Rae,1977-11-28,180.0,65.0
Youl Mawene,1979-07-16,186.0,83.0
Viktor Fischer,1994-06-09,181.0,80.0
Jakob Haugaard,1992-05-01,199.0,87.0
