id,sport_id,country_id,nationality_id,city_id,position_id,detailed_position_id,type_id,common_name,firstname,lastname,name,display_name,image_path,height,weight,date_of_birth,gender
14,1,320,320,39500.0,221.0,226.0,25,D. Agger,Daniel Munthe,Agger,Daniel Munthe Agger,Daniel Agger,https://cdn.sportmonks.com/images/soccer/players/14/14.png,191.0,84.0,1984-12-12,male
21,1,455,455,,26.0,,26,L. Miller,Liam,Miller,Liam Miller,Liam Miller,https://cdn.sportmonks.com/images/soccer/players/21/21.png,170.0,66.0,1981-02-13,male
25,1,455,455,,27.0,,27,A. Stokes,Anthony,Stokes,Anthony Stokes,Anthony Stokes,https://cdn.sportmonks.com/images/soccer/players/25/25.png,180.0,70.0,1988-07-25,male
31,1,462,462,51663.0,,,27,J. Defoe,Jermain,Defoe,Jermain Defoe,Jermain Defoe,https://cdn.sportmonks.com/images/soccer/players/31/31.png,171.0,65.0,1982-10-07,male
35,1,1161,1161,,24.0,24.0,24,Craig Gordon,Craig,Gordon,Craig Gordon,Craig Gordon,https://cdn.sportmonks.com/images/soccer/players/3/35.png,193.0,85.0,1982-12-31,male
41,1,1161,1161,,26.0,,26,R. Wallace,Ross,Wallace,Ross Wallace,Ross Wallace,https://cdn.sportmonks.com/images/soccer/players/9/41.png,167.0,63.0,1985-05-23,male
49,1,320,320,,27.0,,27,N. Bendtner,Nicklas,Bendtner,Nicklas Bendtner,Nicklas Bendtner,https://cdn.sportmonks.com/images/soccer/players/17/49.png,193.0,84.0,1988-01-16,male
54,1,23,23,,25.0,,25,K. Touré,Kolo Habib,Touré,Kolo Habib Touré,Kolo Touré,https://cdn.sportmonks.com/images/soccer/players/22/54.png,180.0,74.0,1981-03-19,male
55,1,17,17,27786.0,25.0,,25,B. Mendy,Bernard,Mendy,Bernard Mendy,Bernard Mendy,https://cdn.sportmonks.com/images/soccer/players/23/55.png,180.0,77.0,1981-08-20,male
57,1,455,455,,27.0,,27,D. Murphy,Daryl,Murphy,Daryl Murphy,Daryl Murphy,https://cdn.sportmonks.com/images/soccer/players/25/57.png,191.0,88.0,1983-03-15,male
65,1,245,245,71229.0,,,27,R. Bednár,Roman,Bednár,Roman Bednár,Roman Bednar,https://cdn.sportmonks.com/images/soccer/players/1/65.png,185.0,78.0,1983-03-26,male
70,1,1161,1161,,25.0,,25,C. Beattie,Craig,Beattie,Craig Beattie,Craig Beattie,https://cdn.sportmonks.com/images/soccer/placeholder.png,183.0,73.0,1984-01-16,male
77,1,62,62,,25.0,,25,J. Djourou-Gbadjere,Johan Danon,Djourou-Gbadjere,Johan Danon Djourou-Gbadjere,Johan Djourou,https://cdn.sportmonks.com/images/soccer/players/13/77.png,191.0,87.0,1987-01-18,male
92,1,455,455,,221.0,,221,R. Keane,Robbie,Keane,Robbie Keane,R. Keane,https://cdn.sportmonks.com/images/soccer/players/28/92.png,175.0,72.0,1980-07-08,male
94,1,462,462,51663.0,27.0,,27,C. Cole Okirie,Carlton,Cole Okirie,Carlton Cole Okirie,Carlton Cole,https://cdn.sportmonks.com/images/soccer/placeholder.png,191.0,78.0,1983-10-12,male
106,1,17,23,67223.0,25.0,,25,A. Méïté,Abdoulaye,Méïté,Abdoulaye Méïté,Abdoulaye Meite,https://cdn.sportmonks.com/images/soccer/placeholder.png,185.0,82.0,1980-10-06,male
120,1,491,491,,24.0,,24,R. Carroll,Roy,Carroll,Roy Carroll,Roy Carroll,https://cdn.sportmonks.com/images/soccer/players/24/120.png,188.0,80.0,1977-09-30,male
135,1,17,1560,56253.0,25.0,,25,S. Mouyokolo,Steven,Mouyokolo,Steven Mouyokolo,Steven Mouyokolo,https://cdn.sportmonks.com/images/soccer/players/7/135.png,190.0,86.0,1987-01-24,male
136,1,462,462,,25.0,,25,A. Ferdinand,Anton,Ferdinand,Anton Ferdinand,Anton Ferdinand,https://cdn.sportmonks.com/images/soccer/players/8/136.png,183.0,71.0,1985-02-18,male
145,1,3483,3483,,25.0,,25,J. Spector,Jonathan,Spector,Jonathan Spector,Jonathan Spector,https://cdn.sportmonks.com/images/soccer/players/17/145.png,183.0,76.0,1986-03-01,male
147,1,17,17,49092.0,26.0,,26,J. Faubert,Julien,Faubert,Julien Faubert,Julien Faubert,https://cdn.sportmonks.com/images/soccer/players/19/147.png,180.0,75.0,1983-08-01,male
148,1,47,47,,,,221,F. Ljungberg,Fredrik,Ljungberg,Fredrik Ljungberg,Fredrik Ljungberg,https://cdn.sportmonks.com/images/soccer/placeholder.png,176.0,75.0,1977-04-16,male
159,1,200,200,21881.0,26.0,,26,A. Faye,Amdy Moustapha,Faye,Amdy Moustapha Faye,Amdy Faye,https://cdn.sportmonks.com/images/soccer/placeholder.png,184.0,78.0,1977-12-03,male
169,1,320,320,,24.0,24.0,24,K. Schmeichel,Kasper,Schmeichel,Kasper Schmeichel,Kasper Schmeichel,https://cdn.sportmonks.com/images/soccer/players/9/169.png,189.0,88.0,1986-11-05,male
180,1,462,462,7108.0,26.0,,27,S. Sinclair,Scott,Sinclair,Scott Sinclair,Scott Sinclair,https://cdn.sportmonks.com/images/soccer/players/20/180.png,177.0,69.0,1989-03-25,male
183,1,2228,2228,,,,221,J. Scotland,Jason Kelvin,Scotland,Jason Kelvin Scotland,Jason Scotland,https://cdn.sportmonks.com/images/soccer/players/23/183.png,173.0,73.0,1979-02-18,male
