name,market_value,goals,assists,contribution
Roman Weidenfeller,13.527829818844937,0,0,0
Lúcio,12.206077645517674,0,0,0
Tom Starke,11.51293546492023,0,0,0
Dedê,12.899222326086994,1,2,3
Christoph Metzelder,14.220976332738882,0,1,1
Tomas Rosicky,12.765691290604371,9,4,13
Gerald Asamoah,11.51293546492023,0,2,2
Tamás Hajnal,11.51293546492023,2,3,5
Sladan Peric,12.206077645517674,0,0,0
Sérgio da Silva Pinto,11.918397239722838,5,4,9
Fabian Ernst,14.220976332738882,0,5,5
Tomas Ujfalusi,12.611541086966115,0,0,0
Benjamin Köhler,11.918397239722838,0,0,0
Sebastian Kehl,13.815511557963774,3,6,9
Levan Kobiashvili,12.899222326086994,1,0,1
Oka Nikolov,12.765691290604371,0,0,0
Gerhard Tremmel,12.429220196836383,0,0,0
Simon Jentzsch,12.611541086966115,0,0,0
Martin Stranzl,13.815511557963774,8,0,8
Timo Hildebrand,13.527829818844937,0,0,0
Martin Petrov,12.899222326086994,0,2,2
Ivan Klasnic,13.122365377402328,1,0,1
Giuseppe Gemiti,11.225256725762893,0,1,1
Deniz Baris,12.611541086966115,1,0,1
David Jarolim,12.429220196836383,0,0,0
Hanno Balitsch,12.206077645517674,1,2,3
Selim Teber,12.07254696717504,0,0,0
Thorben Marx,12.611541086966115,3,3,6
Jens Langeneke,11.51293546492023,2,0,2
Heinz Müller,12.206077645517674,0,0,0
Ugur Inceman,10.819798284210286,6,7,13
Christian Weber,10.819798284210286,0,0,0
Manuel Friedrich,13.122365377402328,3,2,5
Andriy Voronin,13.122365377402328,7,3,10
Julian de Guzmán,12.429220196836383,1,2,3
Emanuel Pogatetz,12.206077645517674,1,2,3
Peer Kluge,11.736077016252437,0,1,1
Thomas Kleine,12.429220196836383,0,0,0
Matthias Lehmann,12.429220196836383,6,6,12
Nikolce Noveski,13.122365377402328,2,1,3
Christofer Heimeroth,11.51293546492023,0,0,0
Raphael Schäfer,12.206077645517674,0,0,0
Javier Zanetti,13.815511557963774,0,1,1
Peter Graulund,12.429220196836383,2,0,2
Alou Diarra,12.429220196836383,2,1,3
Steven Cherundolo,13.527829818844937,0,2,2
Christian Wetklo,10.819798284210286,0,0,0
Guy Demel,11.918397239722838,2,3,5
Maik Franz,12.611541086966115,0,0,0
Michael Owen,13.815511557963774,1,0,1
Cacau,12.765691290604371,2,4,6
Mike Hanke,13.815511557963774,9,5,14
Christian Poulsen,12.899222326086994,2,5,7
Tim Wiese,13.122365377402328,0,0,0
Heiko Butscher,12.206077645517674,0,0,0
Wesley Sonck,12.206077645517674,1,2,3
Youssef El Akchaoui,12.765691290604371,0,0,0
Stefan Reisinger,13.122365377402328,8,0,8
Andreas Wolf,13.122365377402328,0,0,0
Thomas Hitzlsperger,13.815511557963774,0,0,0
Christian Schulz,11.51293546492023,5,2,7
Mario Eggimann,12.899222326086994,2,1,3
Morten Rasmussen,10.819798284210286,1,0,1
Vivian,11.51293546492023,0,0,0
Dennis Kruppke,12.899222326086994,0,0,0
Diego Benaglio,12.429220196836383,0,0,0
Milorad Pekovic,11.918397239722838,0,0,0
David Odonkor,13.122365377402328,2,3,5
Jesper Christiansen,10.819798284210286,0,0,0
Heiko Westermann,12.899222326086994,8,5,13
Du-ri Cha,13.623139877437296,0,0,0
René Adler,13.122365377402328,0,3,3
Ali Bilgin,12.07254696717504,0,0,0
Ahmet Cebe,10.819798284210286,1,5,6
Deniz Dogan,11.225256725762893,0,0,0
Markus Feulner,11.51293546492023,8,5,13
Philipp Haastrup,11.51293546492023,1,0,1
Mladen Kascelan,10.12667110305036,1,0,1
Erdal Kilicaslan,12.899222326086994,8,7,15
Oliver Kirch,13.122365377402328,1,1,2
Lukas Kruse,11.51293546492023,0,0,0
Christian Lell,13.592368256649284,2,3,5
Zvjezdan Misimovic,13.45883704259595,0,2,2
Marcel Ndjeng,10.819798284210286,1,2,3
Patrick Ochs,12.206077645517674,0,3,3
Marjan Petkovic,12.206077645517674,0,0,0
Michael Rensing,12.611541086966115,0,1,1
Mahir Saglik,10.819798284210286,1,1,2
Thorsten Stuckmann,11.51293546492023,0,0,0
Elyasa Süme,10.12667110305036,2,4,6
Piotr Trochowski,13.527829818844937,4,3,7
Morten Skoubo,12.611541086966115,9,3,12
Nando Rafael,12.429220196836383,3,0,3
Romuald Peiser,11.225256725762893,0,0,0
Alexander Madlung,12.429220196836383,8,0,8
Eldin Jakupovic,11.51293546492023,0,0,0
Yassin Mikari,11.918397239722838,1,0,1
Hervé Tum,12.429220196836383,1,1,2
Rafa Márquez,13.592368256649284,0,0,0
György Garics,11.51293546492023,1,5,6
Robert Almer,12.429220196836383,0,0,0
Paul Scharner,14.220976332738882,0,1,1
Roland Linz,13.122365377402328,0,0,0
Martín Demichelis,12.206077645517674,9,2,11
Robert Huth,14.731801689838349,7,3,10
Chris Iwelumo,12.429220196836383,0,0,0
Ekrem Dag,11.51293546492023,1,5,6
Olof Mellberg,12.611541086966115,4,1,5
David Bellion,12.429220196836383,2,0,2
Kieron Dyer,13.122365377402328,1,1,2
Titus Bramble,14.508658238524095,0,0,0
Kevin Phillips,12.429220196836383,0,0,0
Florin Cernat,11.51293546492023,5,2,7
David Beckham,13.815511557963774,0,2,2
Shay Given,12.429220196836383,0,0,0
William Gallas,13.122365377402328,1,0,1
Valerio Di Cesare,12.206077645517674,0,0,0
Cris,12.429220196836383,1,0,1
Quique de Lucas,11.51293546492023,4,0,4
Eidur Gudjohnsen,12.206077645517674,10,3,13
Carlton Cole,13.122365377402328,11,5,16
Ashley Cole,13.122365377402328,1,7,8
Stuart Taylor,12.429220196836383,0,0,0
Jermaine Pennant,13.122365377402328,1,0,1
Stathis Tavlaridis,11.918397239722838,8,1,9
Kolo Touré,14.375126917328105,1,3,4
David Bentley,14.914123179965662,0,0,0
Milan Baros,12.429220196836383,2,0,2
John Arne Riise,13.45883704259595,0,5,5
Nicolas Anelka,13.815511557963774,2,0,2
Rio Ferdinand,13.815511557963774,1,2,3
Stephen Hughes,12.524530013005734,0,1,1
Calvin Zola,12.611541086966115,3,4,7
Joseph Yobo,13.527829818844937,1,0,1
Matthew Upson,12.429220196836383,1,0,1
Shola Ameobi,13.122365377402328,6,6,12
Steve Banks,10.819798284210286,0,0,0
Joey Barton,13.815511557963774,3,6,9
Paul Konchesky,12.429220196836383,1,1,2
Craig Bellamy,13.815511557963774,2,1,3
Nicky Weaver,12.429220196836383,0,0,0
Luke Wilkshire,11.51293546492023,0,5,5
Ben Williams,11.51293546492023,0,0,0
Jonathan Blondel,13.122365377402328,3,1,4
Sylvain Distin,13.527829818844937,0,3,3
Mark Schwarzer,13.122365377402328,0,0,0
Markus Neumayr,12.206077645517674,3,4,7
Gábor Babos,10.819798284210286,0,0,0
Paul Scholes,13.815511557963774,1,1,2
Phil Neville,13.815511557963774,0,1,1
Wes Brown,13.122365377402328,0,2,2
Pablo Aimar,13.122365377402328,0,3,3
Nicolás Burdisso,12.611541086966115,1,1,2
Dejan Stankovic,13.122365377402328,0,0,0
Ragnvald Soma,11.51293546492023,0,0,0
Jermaine Jenas,14.220976332738882,2,0,2
Kevin Stuhr-Ellegaard,11.51293546492023,0,0,0
Shaun Wright-Phillips,11.51293546492023,1,1,2
Thomas Sörensen,12.429220196836383,0,0,0
Brad Friedel,13.527829818844937,0,0,0
Hugo Viana,14.914123179965662,8,3,11
Dudu Aouate,11.51293546492023,0,1,1
Christian Abbiati,13.122365377402328,0,0,0
Mark van Bommel,13.592368256649284,8,4,12
Sylvain Armand,12.429220196836383,2,2,4
Jan Polak,11.51293546492023,1,3,4
Robert Vittek,11.918397239722838,2,1,3
Roy Carroll,11.918397239722838,0,0,0
Ricardo,11.51293546492023,0,0,0
Luke Steele,11.918397239722838,0,0,0
John O'Shea,13.122365377402328,3,4,7
Kieran Richardson,14.220976332738882,6,7,13
Jerome Thomas,12.429220196836383,0,1,1
Steve Harper,12.429220196836383,0,0,0
Adam Collin,12.429220196836383,0,1,1
Julien Escudé,13.592368256649284,2,0,2
Mickaël Landreau,14.375126917328105,0,0,0
Aaron Hughes,12.206077645517674,1,0,1
Steve Simonsen,11.736077016252437,0,0,0
Gary Naysmith,13.017005083966255,0,0,0
Jamie Carragher,13.815511557963774,0,1,1
Sean O'Hanlon,12.765691290604371,0,0,0
Tony Hibbert,13.122365377402328,0,0,0
Paul Robinson,12.429220196836383,0,0,0
Ian Harte,11.918397239722838,0,4,4
Mark Hudson,13.122365377402328,0,0,0
Jason Roberts,12.429220196836383,0,1,1
Wayne Bridge,13.122365377402328,0,1,1
Jussi Jääskeläinen,11.918397239722838,0,1,1
Anton Ferdinand,12.611541086966115,0,0,0
Bernard Mendy,11.918397239722838,0,0,0
Peter Enckelman,12.765691290604371,0,0,0
Kim Källström,13.592368256649284,5,7,12
Georgios Theodoridis,12.429220196836383,5,4,9
Óscar Ustari,13.304686600863562,0,0,0
Peter Whittingham,13.527829818844937,3,6,9
Raúl Bravo,11.51293546492023,1,1,2
George McCartney,13.815511557963774,0,2,2
Sam Parkin,12.206077645517674,2,2,4
Scott Parker,13.122365377402328,2,5,7
Matthew Etherington,14.220976332738882,0,2,2
Gary Caldwell,13.122365377402328,1,1,2
Richard Dunne,13.122365377402328,0,0,0
Sofian Chahed,13.122365377402328,0,3,3
Malik Fathi,11.51293546492023,0,0,0
Gordon Greer,12.206077645517674,1,0,1
Jay McEveley,12.899222326086994,3,1,4
Boaz Myhill,12.765691290604371,0,0,0
Jan-Ingwer Callsen-Bracker,11.51293546492023,7,2,9
Andrew Davies,12.429220196836383,5,7,12
Joe Cole,11.918397239722838,8,5,13
Eduardo,13.122365377402328,6,2,8
Henri Camara,11.918397239722838,12,2,14
Pierre-Alain Frau,12.429220196836383,0,0,0
Omar Daf,12.429220196836383,0,0,0
Pascal Feindouno,11.225256725762893,1,0,1
Marama Vahirua,12.899222326086994,5,4,9
Martin Lanig,13.304686600863562,5,2,7
Henrik Pedersen,11.918397239722838,1,0,1
Djibril Cissé,12.206077645517674,10,5,15
Svetoslav Todorov,12.611541086966115,0,0,0
Iker Casillas,13.815511557963774,0,1,1
Dmitriy Sychev,10.12667110305036,4,2,6
Gary O'Neil,13.122365377402328,1,3,4
Louis Saha,12.899222326086994,0,0,0
Brad Jones,11.51293546492023,0,0,0
Dean Marney,13.592368256649284,1,2,3
Lee Barnard,12.429220196836383,0,0,0
Liam Ridgewell,13.122365377402328,1,4,5
Luke Moore,13.45883704259595,3,2,5
Darren Ambrose,12.611541086966115,6,0,6
Frazer Richardson,12.765691290604371,0,0,0
Matthew Kilgallon,12.611541086966115,0,0,0
Garry Monk,13.122365377402328,0,0,0
Rory Delap,12.429220196836383,0,0,0
Chris Baird,12.429220196836383,2,1,3
Richie Ryan,11.51293546492023,0,0,0
Anthony Lurling,11.51293546492023,8,6,14
Bobby Zamora,13.527829818844937,7,7,14
Dominik Reinhardt,10.819798284210286,0,0,0
Florent Sinama-Pongolle,12.429220196836383,2,3,5
David Fox,12.429220196836383,0,1,1
Adam Federici,12.429220196836383,0,0,0
Joleon Lescott,13.815511557963774,4,2,6
Callum Davidson,11.918397239722838,0,1,1
Tim Howard,12.611541086966115,0,1,1
Philippe Senderos,12.611541086966115,2,1,3
Bogdan Lobont,11.51293546492023,0,0,0
Maarten Stekelenburg,11.225256725762893,0,0,0
Cristian Chivu,13.592368256649284,1,1,2
Johnny Heitinga,13.815511557963774,5,1,6
Petri Pasanen,11.51293546492023,2,0,2
Nourdin Boukhari,12.206077645517674,2,4,6
Jelle ten Rouwelaar,12.429220196836383,0,0,0
Kasper Bögelund,12.429220196836383,0,0,0
Wilfred Bouma,13.815511557963774,0,2,2
Michael Lamey,12.429220196836383,1,0,1
Remco van der Schaaf,11.51293546492023,0,0,0
Adil Ramzi,12.899222326086994,2,0,2
Dennis Rommedahl,11.51293546492023,4,6,10
Glenn Loovens,13.527829818844937,0,0,0
Yves Lenaerts,11.918397239722838,0,0,0
Boy Waterman,10.819798284210286,0,2,2
Santi Kolk,13.304686600863562,2,2,4
Marcel Seip,11.918397239722838,5,0,5
Tim Cornelisse,11.51293546492023,0,2,2
Nicky Hofs,13.815511557963774,2,3,5
Matthew Amoah,12.899222326086994,2,0,2
Orlando Engelaar,12.429220196836383,3,0,3
Robbie Haemhouts,12.206077645517674,11,6,17
Arne Slot,12.899222326086994,1,1,2
Robert van Boxel,10.819798284210286,0,0,0
Khalid Sinouh,11.51293546492023,0,0,0
Khalid Boulahrouz,12.899222326086994,0,3,3
Dennis Gentenaar,11.51293546492023,0,0,0
Jeffrey Leiwakabessy,11.51293546492023,0,3,3
Rob Wielaert,12.765691290604371,0,1,1
Peter Wisgerhof,13.122365377402328,1,0,1
Frank Demouge,12.765691290604371,10,6,16
Anouar Hadouir,11.918397239722838,6,6,12
Theo Zwarthoed,11.51293546492023,0,1,1
Joris Mathijsen,13.815511557963774,1,3,4
Denny Landzaat,11.51293546492023,1,0,1
Marcel Meeuwis,13.592368256649284,0,1,1
Sander Boschker,11.51293546492023,0,0,0
Vladan Kujovic,12.206077645517674,0,0,0
Roel Brouwers,12.899222326086994,2,2,4
Jos Hooiveld,12.07254696717504,0,1,1
Arnold Kruiswijk,12.206077645517674,1,2,3
Joost Broerse,12.429220196836383,6,1,7
Mitchell Piqué,12.206077645517674,0,1,1
Nigel de Jong,12.899222326086994,8,3,11
Cedric van der Gun,13.122365377402328,6,3,9
Markus Berger,12.765691290604371,1,1,2
Peter Niemeyer,12.206077645517674,4,1,5
Daniel Van Buyten,13.815511557963774,1,1,2
David Yelldell,11.51293546492023,0,0,0
Bo Storm,11.51293546492023,1,0,1
Steve von Bergen,13.815511557963774,1,0,1
Kader Mangane,13.122365377402328,5,4,9
Hilton,11.918397239722838,9,6,15
Rabiu Afolabi,12.206077645517674,0,0,0
Armand Deumi,10.819798284210286,1,0,1
Gianluigi Buffon,13.815511557963774,0,0,0
Thomas Kessler,12.429220196836383,0,0,0
Alexander Manninger,12.206077645517674,0,0,0
Flavio Roma,10.819798284210286,0,0,0
Éric Abidal,13.815511557963774,0,0,0
Gaël Givet,12.429220196836383,0,0,0
Sébastien Squillaci,12.429220196836383,5,2,7
Ludovic Giuly,12.899222326086994,1,1,2
Cédric Carrasso,12.429220196836383,0,0,0
Damien Grégorini,12.899222326086994,0,0,0
Abdoulaye Méïté,10.12667110305036,0,0,0
Anastasios Tsokanis,12.206077645517674,7,6,13
Rémy Vercoutre,12.429220196836383,0,0,0
Jérémie Bréchet,12.429220196836383,2,1,3
Youssouf Hadji,12.429220196836383,0,1,1
Mahamadou Diarra,13.527829818844937,0,0,0
Sidney Govou,13.304686600863562,0,2,2
Camel Meriem,12.611541086966115,2,3,5
Kamel Chafni,13.304686600863562,2,2,4
Jean-Alain Boumsong,14.220976332738882,1,0,1
Philippe Mexès,13.122365377402328,7,2,9
Lionel Mathis,12.429220196836383,0,1,1
Pantxi Sirieix,11.918397239722838,2,2,4
Olivier Kapo,11.918397239722838,2,5,7
Ronan Le Crom,10.819798284210286,0,0,0
Alaeddine Yahia,12.429220196836383,4,0,4
Steeve Joseph-Reinette,12.899222326086994,1,1,2
Charles Itandje,13.122365377402328,0,0,0
Zoumana Camara,13.122365377402328,1,0,1
Seydou Keita,13.122365377402328,5,1,6
Mauro Cetto,12.611541086966115,0,0,0
Mario Yepes,11.51293546492023,1,0,1
Eric Djemba Djemba,13.815511557963774,0,0,0
Jérémy Toulalan,14.508658238524095,1,3,4
Wilfried Dalmat,12.206077645517674,1,0,1
Ariza Makukula,12.899222326086994,4,0,4
Romain Pitau,12.899222326086994,0,1,1
Cédric Varrault,12.429220196836383,4,0,4
Johan Audel,13.122365377402328,6,5,11
Hugo Leal,13.710151153416941,0,0,0
Romain Rocchi,12.429220196836383,0,0,0
Fabien Audard,12.429220196836383,0,0,0
Nicolas Penneteau,11.51293546492023,0,0,0
Anthar Yahia,12.429220196836383,0,0,0
Michael Essien,12.206077645517674,3,1,4
Cyril Jeunechamp,10.819798284210286,0,0,0
Chaouki Ben Saada,11.918397239722838,1,1,2
Cédric Kanté,12.429220196836383,1,1,2
Guillaume Lacour,12.429220196836383,0,0,0
Fabrice Ehret,11.918397239722838,2,1,3
Matthieu Chalmé,12.611541086966115,0,0,0
Matthieu Delpierre,13.122365377402328,1,2,3
José Saez,13.122365377402328,4,0,4
Benoît Cheyrou,12.206077645517674,4,2,6
Marc-Antoine Fortuné,11.918397239722838,2,2,4
Petr Cech,14.731801689838349,0,0,0
Arnaud Le Lan,12.611541086966115,1,0,1
Sébastien Puygrenier,12.206077645517674,7,0,7
Anthony Réveillère,13.122365377402328,2,5,7
Olivier Sorlin,12.429220196836383,1,4,5
Toifilou Maoulida,12.429220196836383,6,2,8
Laurent Pionnier,13.122365377402328,0,0,0
Rudy Riou,12.611541086966115,0,0,0
