name,market_value_in_eur,goals,assists
Miroslav Klose,1000000.0,48,25
Roman Weidenfeller,750000.0,0,0
Dimitar Berbatov,1000000.0,38,13
Lúcio,200000.0,0,0
Tom Starke,100000.0,0,0
Dedê,400000.0,1,2
Christoph Metzelder,1500000.0,0,1
Tomas Rosicky,350000.0,9,4
Roque Santa Cruz,250000.0,26,8
Gerald Asamoah,100000.0,0,2
Tamás Hajnal,100000.0,2,3
Sladan Peric,200000.0,0,0
Sérgio da Silva Pinto,150000.0,5,4
Fabian Ernst,1500000.0,0,5
Tomas Ujfalusi,300000.0,0,0
Benjamin Köhler,150000.0,0,0
Sebastian Kehl,1000000.0,3,6
Levan Kobiashvili,400000.0,1,0
Oka Nikolov,350000.0,0,0
Gerhard Tremmel,250000.0,0,0
Claudio Pizarro,400000.0,53,24
Simon Jentzsch,300000.0,0,0
Martin Stranzl,1000000.0,8,0
Aleksandr Hleb,150000.0,4,13
Timo Hildebrand,750000.0,0,0
Martin Petrov,400000.0,0,2
Ivan Klasnic,500000.0,1,0
Simon Rolfes,2000000.0,12,8
Giuseppe Gemiti,75000.0,0,1
Deniz Baris,300000.0,1,0
David Jarolim,250000.0,0,0
Hanno Balitsch,200000.0,1,2
Selim Teber,175000.0,0,0
Thorben Marx,300000.0,3,3
Jens Langeneke,100000.0,2,0
Heinz Müller,200000.0,0,0
Ugur Inceman,50000.0,6,7
Christian Weber,50000.0,0,0
Manuel Friedrich,500000.0,3,2
Andriy Voronin,500000.0,7,3
Julian de Guzmán,250000.0,1,2
Emanuel Pogatetz,200000.0,1,2
Peer Kluge,125000.0,0,1
Thomas Kleine,250000.0,0,0
Matthias Lehmann,250000.0,6,6
Nikolce Noveski,500000.0,2,1
Christofer Heimeroth,100000.0,0,0
Raphael Schäfer,200000.0,0,0
Javier Zanetti,1000000.0,0,1
Peter Graulund,250000.0,2,0
Clemens Fritz,750000.0,2,14
Jermaine Jones,600000.0,3,8
Alou Diarra,250000.0,2,1
Kevin Kuranyi,1250000.0,34,9
Steven Cherundolo,750000.0,0,2
Christian Wetklo,50000.0,0,0
Guy Demel,150000.0,2,3
Maik Franz,300000.0,0,0
Michael Owen,1000000.0,1,0
Lars Jacobsen,500000.0,2,19
Cacau,350000.0,2,4
Mike Hanke,1000000.0,9,5
Christian Poulsen,400000.0,2,5
Tim Wiese,500000.0,0,0
Heiko Butscher,200000.0,0,0
Wesley Sonck,200000.0,1,2
Youssef El Akchaoui,350000.0,0,0
Alexander Meier,300000.0,69,13
Stefan Reisinger,500000.0,8,0
Andreas Wolf,500000.0,0,0
Thomas Hitzlsperger,1000000.0,0,0
Christian Schulz,100000.0,5,2
Mario Eggimann,400000.0,2,1
Morten Rasmussen,50000.0,1,0
Vivian,100000.0,0,0
Dennis Kruppke,400000.0,0,0
Sascha Riether,300000.0,1,13
Diego Benaglio,250000.0,0,0
Milorad Pekovic,150000.0,0,0
David Odonkor,500000.0,2,3
Jesper Christiansen,50000.0,0,0
Heiko Westermann,400000.0,8,5
Du-ri Cha,825000.0,0,0
René Adler,500000.0,0,3
Halil Altintop,200000.0,29,18
Hamit Altintop,300000.0,2,9
Ali Bilgin,175000.0,0,0
Ahmet Cebe,50000.0,1,5
Deniz Dogan,75000.0,0,0
Markus Feulner,100000.0,8,5
Philipp Haastrup,100000.0,1,0
Nelson Valdez,100000.0,16,0
Mladen Kascelan,25000.0,1,0
Erdal Kilicaslan,400000.0,8,7
Oliver Kirch,500000.0,1,1
Lukas Kruse,100000.0,0,0
Philipp Lahm,11000000.0,6,35
Christian Lell,800000.0,2,3
Zvjezdan Misimovic,700000.0,0,2
Marcel Ndjeng,50000.0,1,2
Patrick Ochs,200000.0,0,3
Marjan Petkovic,200000.0,0,0
Michael Rensing,300000.0,0,1
Mahir Saglik,50000.0,1,1
Bastian Schweinsteiger,1000000.0,24,27
Thorsten Stuckmann,100000.0,0,0
Elyasa Süme,25000.0,2,4
Piotr Trochowski,750000.0,4,3
Morten Skoubo,300000.0,9,3
Nando Rafael,250000.0,3,0
Romuald Peiser,75000.0,0,0
Alexander Madlung,250000.0,8,0
Christian Pander,250000.0,1,8
Eldin Jakupovic,100000.0,0,0
Stephan Lichtsteiner,800000.0,13,30
Mladen Petric,600000.0,18,11
Yassin Mikari,150000.0,1,0
Hervé Tum,250000.0,1,1
Rafa Márquez,800000.0,0,0
Andreas Ivanschitz,200000.0,13,17
György Garics,100000.0,1,5
Robert Almer,250000.0,0,0
Paul Scharner,1500000.0,0,1
Roland Linz,500000.0,0,0
Martín Demichelis,200000.0,9,2
Robert Huth,2500000.0,7,3
Chris Iwelumo,250000.0,0,0
Ekrem Dag,100000.0,1,5
Olof Mellberg,300000.0,4,1
Steven Gerrard,1750000.0,38,26
Jan Schlaudraff,750000.0,6,8
David Bellion,250000.0,2,0
Kieron Dyer,500000.0,1,1
Titus Bramble,2000000.0,0,0
Kevin Phillips,250000.0,0,0
Florin Cernat,100000.0,5,2
David Beckham,1000000.0,0,2
Shay Given,250000.0,0,0
William Gallas,500000.0,1,0
Valerio Di Cesare,200000.0,0,0
John Terry,1000000.0,17,5
Frank Lampard,1000000.0,30,14
Cris,250000.0,1,0
Simon Cziommer,400000.0,4,9
Quique de Lucas,100000.0,4,0
Eidur Gudjohnsen,200000.0,10,3
Carlton Cole,500000.0,11,5
Ashley Cole,500000.0,1,7
Stuart Taylor,250000.0,0,0
Jermaine Pennant,500000.0,1,0
Stathis Tavlaridis,150000.0,8,1
Kolo Touré,1750000.0,1,3
David Bentley,3000000.0,0,0
Milan Baros,250000.0,2,0
John Arne Riise,700000.0,0,5
Nicolas Anelka,1000000.0,2,0
Rio Ferdinand,1000000.0,1,2
Stephen Hughes,275000.0,0,1
Roberto Hilbert,100000.0,4,10
Damien Duff,600000.0,3,11
Jérémie Aliadière,500000.0,24,14
Calvin Zola,300000.0,3,4
Joseph Yobo,750000.0,1,0
Matthew Upson,250000.0,1,0
Shola Ameobi,500000.0,6,6
Steve Banks,50000.0,0,0
Gareth Barry,325000.0,8,17
Joey Barton,1000000.0,3,6
Paul Konchesky,250000.0,1,1
Craig Bellamy,1000000.0,2,1
Jonathan Walters,1500000.0,34,14
Nicky Weaver,250000.0,0,0
Luke Wilkshire,100000.0,0,5
Ben Williams,100000.0,0,0
Wayne Rooney,2000000.0,82,59
James Milner,750000.0,39,70
Jonathan Blondel,500000.0,3,1
Sylvain Distin,750000.0,0,3
Mark Schwarzer,500000.0,0,0
Kaká,1000000.0,14,12
Markus Neumayr,200000.0,3,4
Gábor Babos,50000.0,0,0
Paul Scholes,1000000.0,1,1
Phil Neville,1000000.0,0,1
Wes Brown,500000.0,0,2
Ryan Giggs,1000000.0,3,9
Pablo Aimar,500000.0,0,3
Rodrigo Tello,200000.0,4,13
Nicolás Burdisso,300000.0,1,1
Dejan Stankovic,500000.0,0,0
Timmy Simons,100000.0,20,6
Ragnvald Soma,100000.0,0,0
Zlatan Ibrahimović,2000000.0,196,78
Lomana LuaLua,200000.0,18,15
Jermaine Jenas,1500000.0,2,0
Kevin Stuhr-Ellegaard,100000.0,0,0
Shaun Wright-Phillips,100000.0,1,1
Thomas Sörensen,250000.0,0,0
Brad Friedel,750000.0,0,0
Hugo Viana,3000000.0,8,3
Dudu Aouate,100000.0,0,1
Christian Abbiati,500000.0,0,0
Mark van Bommel,800000.0,8,4
Sylvain Armand,250000.0,2,2
Jan Polak,100000.0,1,3
Robert Vittek,150000.0,2,1
Roy Carroll,150000.0,0,0
Ricardo,100000.0,0,0
Luke Steele,150000.0,0,0
John O'Shea,500000.0,3,4
Darren Fletcher,1000000.0,8,8
Kieran Richardson,1500000.0,6,7
Jerome Thomas,250000.0,0,1
Steve Harper,250000.0,0,0
Adam Collin,250000.0,0,1
Steed Malbranque,200000.0,7,13
Julien Escudé,800000.0,2,0
Mickaël Landreau,1750000.0,0,0
Aaron Hughes,200000.0,1,0
Steve Simonsen,125000.0,0,0
Gary Naysmith,450000.0,0,0
Jamie Carragher,1000000.0,0,1
Sean O'Hanlon,350000.0,0,0
Tony Hibbert,500000.0,0,0
Leon Osman,1000000.0,13,12
Paul Robinson,250000.0,0,0
Ian Harte,150000.0,0,4
Mark Hudson,500000.0,0,0
Jason Roberts,250000.0,0,1
Wayne Bridge,500000.0,0,1
